"Date","Three Fund Portfolio","Inflation"
"1972-04-11",13102.42,10991.16
"1972-04-12",13150.95,10992.04
"1972-04-13",13055.82,10992.93
"1972-04-14",13033.41,10993.81
"1972-04-17",12984.77,10996.46
"1972-04-18",12986.75,10997.35
"1972-04-19",12977.91,10998.23
"1972-04-20",12981.44,10999.12
"1972-04-21",12935.9,11000
"1972-04-24",12856.16,11002.65
"1972-04-25",12782.65,11003.54
"1972-04-26",12782.63,11004.42
"1972-04-27",12802.39,11005.31
"1972-04-28",12846.61,11006.19
"1972-05-01",12722.48,11008.81
"1972-05-02",12688.05,11009.67
"1972-05-03",12670.99,11010.52
"1972-05-04",12694.17,11011.38
"1972-05-05",12724.97,11012.24
"1972-05-08",12703.29,11014.8
"1972-05-09",12550.45,11015.66
"1972-05-10",12614.58,11016.51
"1972-05-11",12617.54,11017.37
"1972-05-12",12683.13,11018.23
"1972-05-15",12731.67,11020.79
"1972-05-16",12749,11021.65
"1972-05-17",12811.89,11022.5
"1972-05-18",12973.8,11023.36
"1972-05-19",13058.71,11024.21
"1972-05-22",13121.23,11026.78
"1972-05-23",13155.49,11027.64
"1972-05-24",13210.67,11028.49
"1972-05-25",13246.07,11029.35
"1972-05-26",13324.35,11030.2
"1972-05-30",13319.42,11033.63
"1972-05-31",13221.71,11034.48
"1972-06-01",13247.91,11035.37
"1972-06-02",13319.77,11036.25
"1972-06-05",13234.35,11038.9
"1972-06-06",13135.71,11039.79
"1972-06-07",13126.94,11040.67
"1972-06-08",13103.08,11041.56
"1972-06-09",12993.2,11042.44
"1972-06-12",13002.71,11045.09
"1972-06-13",13093.76,11045.98
"1972-06-14",13109.93,11046.86
"1972-06-15",13118.4,11047.75
"1972-06-16",13100.74,11048.63
"1972-06-19",13068.93,11051.28
"1972-06-20",13067.26,11052.17
"1972-06-21",13078.21,11053.05
"1972-06-22",13029.59,11053.93
"1972-06-23",12994.24,11054.82
"1972-06-26",12947.93,11057.47
"1972-06-27",12934.41,11058.36
"1972-06-28",12900.57,11059.24
"1972-06-29",12850.25,11060.12
"1972-06-30",12937.31,11061.01
"1972-07-03",13027.22,11066.14
"1972-07-05",13122.33,11069.56
"1972-07-06",13225.85,11071.28
